Time,ID,latitude,longitude,altitude,xVelocity,yVelocity,zVelocity,roll,pitch,yaw,roll_rate,pitch_rate,yaw_rate,attitude_z_up
0,0,39.0023,125.7605,80,-7.36E-06,119.7,8.3710.0000,-0.0698,1.5708,0,0,0,1,1
1,0,39.0034,125.7605,94.137,-0.2658,135.2,4.2750.0000,-0.0316,1.5728,0,0,0,1,1
2,0,39.0045,125.7604,119.668,-1.169,149.1,1.4250.0000,-0.0096,1.5786,0,0,0,1,1
3,0,39.0057,125.7603,156.387,-2.801,161.7,0.4090.0000,-0.0025,1.5881,0,0,0,1,1
4,0,39.007,125.76,204.085,-5.213,173,1.6250.0000,-0.0094,1.6009,0,0,0,1,1
5,0,39.0082,125.7598,262.557,-8.416,183,5.3150.0000,-0.029,1.6168,0,0,0,1,1
6,0,39.0096,125.7595,331.593,-12.38,191.6,11.580.0000,-0.0603,1.6353,0,0,0,1,1
7,0,39.0109,125.7591,410.988,-17.04,198.7,20.410.0000,-0.102,1.6564,0,0,0,1,1
8,0,39.0123,125.7587,500.534,-22.27,204,31.660.0000,-0.1531,1.6795,0,0,0,1,1
9,0,39.0137,125.7583,600.024,-27.89,207.2,45.090.0000,-0.2124,1.7046,0,0,0,1,1
10,0,39.0151,125.7578,709.251,-33.69,208.2,60.390.0000,-0.2788,1.7312,0,0,0,1,1
11,0,39.0165,125.7573,828.008,-39.4,206.8,77.130.0000,-0.3512,1.7591,0,0,0,1,1
12,0,39.018,125.7568,956.086,-44.75,202.8,94.860.0000,-0.4284,1.788,0,0,0,1,1
13,0,39.0194,125.7562,1093.28,-49.46,196.3,113.10.0000,-0.5094,1.8176,0,0,0,1,1
14,0,39.0209,125.7556,1239.38,-53.26,187.5,131.30.0000,-0.5928,1.8476,0,0,0,1,1
15,0,39.0223,125.755,1394.18,-55.93,176.5,1490,-0.6778,1.8777,0,0,0,1,1
16,0,39.0238,125.7543,1557.48,-57.33,163.7,165.90.0000,-0.763,1.9076,0,0,0,1,1
17,0,39.0252,125.7536,1729.06,-57.4,149.6,181.50.0000,-0.8474,1.9371,0,0,0,1,1
18,0,39.0266,125.753,1908.72,-56.14,134.7,195.50.0000,-0.9298,1.9658,0,0,0,1,1
19,0,39.0281,125.7523,2096.26,-53.68,119.3,2080,-1.0091,1.9935,0,0,0,1,1
20,0,39.0295,125.7515,2291.45,-50.21,104.2,218.70.0000,-1.0842,2.0198,0,0,0,1,1
21,0,39.0308,125.7508,2494.11,-46.01,89.76,227.80.0000,-1.154,2.0445,0,0,0,1,1
22,0,39.0322,125.7501,2704.01,-41.39,76.41,235.40.0000,-1.2172,2.0672,0,0,0,1,1
23,0,39.0335,125.7494,2920.96,-36.71,64.56,241.80.0000,-1.2728,2.0878,0,0,0,1,1
24,0,39.0348,125.7486,3144.75,-32.33,54.55,247.20.0000,-1.3197,2.1058,0,0,0,1,1
25,0,39.036,125.7479,3375.16,-28.65,46.69,251.90.0000,-1.3567,2.1211,0,0,0,1,1
26,0,39.0372,125.7472,3611.99,-26.01,41.26,256.20.0000,-1.3827,2.1332,0,0,0,1,1
27,0,39.0383,125.7465,3855.04,-24.78,38.56,260.20.0000,-1.3965,2.142,0,0,0,1,1
28,0,39.0394,125.7458,4104.1,-25.28,38.9,264.20.0000,-1.397,2.1471,0,0,0,1,1
29,0,39.0405,125.7451,4358.95,-27.8,42.67,268.10.0000,-1.3831,2.1483,0,0,0,1,1
30,0,39.0415,125.7444,4619.4,-32.56,50.32,271.60.0000,-1.3536,2.1451,0,0,0,1,1
31,0,39.0424,125.7437,4885.23,-39.72,62.42,274.50.0000,-1.3075,2.1375,0,0,0,1,1
32,0,39.0432,125.7431,5156.25,-49.26,79.59,275.70.0000,-1.2435,2.125,0,0,0,1,1
33,0,39.0441,125.7424,5430.15,-60.43,101.2,274.60.0000,-1.1653,2.109,0,0,0,1,1
34,0,39.045,125.7417,5698.37,-70.88,122.3,2720,-1.0915,2.0959,0,0,0,1,1
35,0,39.0461,125.7408,5960.5,-80.58,142.2,268.50.0000,-1.024,2.0864,0,0,0,1,1
36,0,39.0474,125.7398,6217.16,-89.73,160.6,264.30.0000,-0.9627,2.0802,0,0,0,1,1
37,0,39.0488,125.7387,6468.95,-98.52,177.7,259.80.0000,-0.9072,2.0771,0,0,0,1,1
38,0,39.0503,125.7375,6716.46,-107.1,193.2,255.20.0000,-0.8574,2.0769,0,0,0,1,1
39,0,39.0519,125.7362,6960.31,-115.6,207.3,250.80.0000,-0.8129,2.0794,0,0,0,1,1
40,0,39.0536,125.7347,7201.1,-124.1,220.1,246.70.0000,-0.7734,2.0844,0,0,0,1,1
41,0,39.0555,125.7332,7439.42,-132.7,231.4,243.10.0000,-0.7389,2.0916,0,0,0,1,1
42,0,39.0575,125.7315,7675.88,-141.5,241.5,2400,-0.7089,2.1008,0,0,0,1,1
43,0,39.0595,125.7298,7911.09,-150.4,250.3,237.70.0000,-0.6833,2.1119,0,0,0,1,1
44,0,39.0617,125.7279,8145.65,-159.5,257.9,236.20.0000,-0.6618,2.1246,0,0,0,1,1
45,0,39.0639,125.726,8380.16,-168.7,264.4,235.60.0000,-0.6441,2.1388,0,0,0,1,1
46,0,39.0662,125.7239,8615.22,-178.1,269.9,235.80.0000,-0.6301,2.1541,0,0,0,1,1
47,0,39.0686,125.7218,8851.45,-187.5,274.3,236.90.0000,-0.6194,2.1704,0,0,0,1,1
48,0,39.071,125.7196,9089.43,-197,277.9,238.90.0000,-0.6117,2.1875,0,0,0,1,1
49,0,39.0735,125.7172,9329.77,-206.4,280.5,241.90.0000,-0.607,2.2052,0,0,0,1,1
50,0,39.0761,125.7148,9573.09,-215.8,282.5,245.70.0000,-0.6048,2.2232,0,0,0,1,1
51,0,39.0787,125.7123,9819.97,-225,283.7,250.30.0000,-0.6049,2.2414,0,0,0,1,1
52,0,39.0813,125.7097,10071,-234,284.3,255.80.0000,-0.6072,2.2595,0,0,0,1,1
53,0,39.084,125.707,10326.9,-242.7,284.3,2620,-0.6113,2.2773,0,0,0,1,1
54,0,39.0867,125.7042,10588.1,-251,284,268.90.0000,-0.6169,2.2947,0,0,0,1,1
55,0,39.0894,125.7014,10855.3,-259,283.3,276.30.0000,-0.6239,2.3113,0,0,0,1,1
56,0,39.0921,125.6985,11129.1,-266.5,282.5,284.40.0000,-0.6321,2.327,0,0,0,1,1
57,0,39.0949,125.6955,11410,-273.5,281.6,292.80.0000,-0.641,2.3417,0,0,0,1,1
58,0,39.0976,125.6924,11698.8,-280,280.7,301.70.0000,-0.6505,2.3549,0,0,0,1,1
59,0,39.1004,125.6892,11995.9,-285.9,280,310.80.0000,-0.6604,2.3667,0,0,0,1,1
60,0,39.1031,125.686,12302.1,-291.3,279.6,320.10.0000,-0.6703,2.3767,0,0,0,1,1
61,0,39.1058,125.6827,12617.9,-296.1,279.7,329.50.0000,-0.6801,2.3847,0,0,0,1,1
62,0,39.1085,125.6793,12943.8,-300.4,280.5,338.80.0000,-0.6894,2.3905,0,0,0,1,1
63,0,39.1112,125.6759,13280.6,-304.2,282,3480,-0.6981,2.394,0,0,0,1,1
64,0,39.1138,125.6724,13628.8,-307.4,284.5,3570,-0.7059,2.3948,0,0,0,1,1
65,0,39.1164,125.6689,13988.9,-310.1,288.1,365.60.0000,-0.7125,2.3929,0,0,0,1,1
66,0,39.119,125.6653,14359.4,-312.8,292.3,373.90.0000,-0.718,2.3899,0,0,0,1,1
67,0,39.1217,125.6616,14738.8,-315.7,296.9,3820,-0.7224,2.3868,0,0,0,1,1
68,0,39.1244,125.658,15126.8,-319,301.9,389.70.0000,-0.7258,2.3836,0,0,0,1,1
69,0,39.1271,125.6543,15523,-322.5,307.3,397.20.0000,-0.7282,2.3803,0,0,0,1,1
70,0,39.1299,125.6505,15926.9,-326.3,313.1,404.50.0000,-0.7297,2.3769,0,0,0,1,1
71,0,39.1327,125.6467,16338.2,-330.4,319.2,411.40.0000,-0.7303,2.3734,0,0,0,1,1
72,0,39.1356,125.6429,16756.3,-334.8,325.8,418.10.0000,-0.7299,2.3699,0,0,0,1,1
73,0,39.1386,125.639,17181,-339.6,332.8,424.40.0000,-0.7287,2.3663,0,0,0,1,1
74,0,39.1416,125.6351,17611.7,-344.6,340.2,430.40.0000,-0.7266,2.3627,0,0,0,1,1
75,0,39.1447,125.6311,18048,-350,348,436.10.0000,-0.7237,2.359,0,0,0,1,1
76,0,39.1479,125.627,18489.6,-355.7,356.2,441.50.0000,-0.72,2.3554,0,0,0,1,1
77,0,39.1511,125.6229,18936,-361.7,364.9,446.50.0000,-0.7155,2.3518,0,0,0,1,1
78,0,39.1545,125.6187,19386.8,-368,373.9,451.20.0000,-0.7103,2.3482,0,0,0,1,1
79,0,39.1579,125.6144,19841.6,-374.6,383.4,455.50.0000,-0.7044,2.3447,0,0,0,1,1
80,0,39.1613,125.61,20300,-381.6,393.2,459.40.0000,-0.6977,2.3412,0,0,0,1,1
81,0,39.1649,125.6056,20761.4,-388.9,403.5,462.90.0000,-0.6904,2.3378,0,0,0,1,1
82,0,39.1686,125.601,21225.7,-396.5,414.2,4660,-0.6825,2.3344,0,0,0,1,1
83,0,39.1723,125.5964,21692.2,-404.5,425.2,468.70.0000,-0.6739,2.3312,0,0,0,1,1
84,0,39.1762,125.5917,22160.6,-412.7,436.6,470.90.0000,-0.6647,2.3281,0,0,0,1,1
85,0,39.1801,125.5869,22630.5,-421.3,448.4,472.60.0000,-0.655,2.3251,0,0,0,1,1
86,0,39.1842,125.5819,23101.4,-430.3,460.5,473.90.0000,-0.6447,2.3223,0,0,0,1,1
87,0,39.1883,125.5769,23573,-439.6,473,474.70.0000,-0.6339,2.3196,0,0,0,1,1
88,0,39.1926,125.5718,24044.8,-449.2,485.7,4750,-0.6227,2.3171,0,0,0,1,1
89,0,39.197,125.5665,24516.4,-459.1,498.8,474.80.0000,-0.6109,2.3148,0,0,0,1,1
90,0,39.2014,125.5612,24987.4,-469.4,512.2,4740,-0.5988,2.3127,0,0,0,1,1
91,0,39.2061,125.5557,25457.3,-480,525.7,472.70.0000,-0.5862,2.3108,0,0,0,1,1
92,0,39.2108,125.5501,25925.8,-491,539.6,470.90.0000,-0.5732,2.3091,0,0,0,1,1
93,0,39.2157,125.5443,26392.5,-502.3,553.6,468.50.0000,-0.5599,2.3077,0,0,0,1,1
94,0,39.2206,125.5384,26856.8,-514,567.7,465.60.0000,-0.5462,2.3065,0,0,0,1,1
95,0,39.2258,125.5324,27318.4,-526,582.1,4620,-0.5323,2.3057,0,0,0,1,1
96,0,39.231,125.5263,27776.9,-538.4,596.5,4580,-0.518,2.3051,0,0,0,1,1
97,0,39.2364,125.52,28231.9,-551.2,611,453.30.0000,-0.5035,2.3048,0,0,0,1,1
98,0,39.2419,125.5136,28682.8,-564.2,625.5,448.20.0000,-0.489,2.3047,0,0,0,1,1
99,0,39.2476,125.507,29129.4,-577.3,640.1,443.30.0000,-0.475,2.3046,0,0,0,1,1
100,0,39.2534,125.5002,29571.5,-590.3,654.7,438.50.0000,-0.4616,2.3046,0,0,0,1,1
101,0,39.2593,125.4933,30009.2,-603.5,669.3,433.80.0000,-0.4486,2.3045,0,0,0,1,1
102,0,39.2654,125.4863,30442.6,-616.6,684,429.20.0000,-0.4361,2.3044,0,0,0,1,1
103,0,39.2716,125.479,30871.7,-629.7,698.7,424.70.0000,-0.4241,2.3043,0,0,0,1,1
104,0,39.2779,125.4717,31296.5,-642.9,713.4,420.30.0000,-0.4126,2.3043,0,0,0,1,1
105,0,39.2844,125.4642,31716.9,-656.1,728.1,4160,-0.4014,2.3042,0,0,0,1,1
106,0,39.291,125.4565,32133.1,-669.3,742.8,411.90.0000,-0.3907,2.3041,0,0,0,1,1
107,0,39.2977,125.4487,32545.1,-682.5,757.6,407.80.0000,-0.3804,2.3041,0,0,0,1,1
108,0,39.3046,125.4407,32952.8,-695.6,772.3,403.70.0000,-0.3705,2.304,0,0,0,1,1
109,0,39.3115,125.4326,33356.3,-708.8,787,399.80.0000,-0.3609,2.304,0,0,0,1,1
110,0,39.3187,125.4243,33755.7,-722,801.7,395.90.0000,-0.3517,2.304,0,0,0,1,1
111,0,39.3259,125.4159,34150.9,-735.2,816.3,392.10.0000,-0.3428,2.304,0,0,0,1,1
112,0,39.3333,125.4073,34541.9,-748.4,830.9,388.40.0000,-0.3343,2.304,0,0,0,1,1
113,0,39.3408,125.3986,34928.9,-761.5,845.5,384.70.0000,-0.326,2.304,0,0,0,1,1
114,0,39.3484,125.3897,35311.7,-774.6,860,381.10.0000,-0.318,2.304,0,0,0,1,1
115,0,39.3561,125.3807,35690.5,-787.7,874.4,377.40.0000,-0.3103,2.3041,0,0,0,1,1
116,0,39.364,125.3716,36065.2,-800.8,888.8,373.80.0000,-0.3029,2.3041,0,0,0,1,1
117,0,39.372,125.3622,36435.9,-813.8,903.1,370.30.0000,-0.2956,2.3042,0,0,0,1,1
118,0,39.3801,125.3528,36802.6,-826.8,917.3,366.70.0000,-0.2886,2.3044,0,0,0,1,1
119,0,39.3883,125.3431,37165.2,-839.8,931.4,363.10.0000,-0.2818,2.3045,0,0,0,1,1
120,0,39.3967,125.3334,37524,-852.7,945.4,359.50.0000,-0.2752,2.3047,0,0,0,1,1
121,0,39.4052,125.3235,37878.8,-865.5,959.2,355.80.0000,-0.2687,2.3049,0,0,0,1,1
122,0,39.4138,125.3134,38229.6,-878.3,972.9,352.10.0000,-0.2624,2.3051,0,0,0,1,1
123,0,39.4225,125.3032,38576.6,-891.1,986.5,348.30.0000,-0.2562,2.3054,0,0,0,1,1
124,0,39.4314,125.2928,38919.6,-903.8,999.9,344.40.0000,-0.2501,2.3057,0,0,0,1,1
125,0,39.4403,125.2823,39258.9,-916.4,1013,340.30.0000,-0.2442,2.3061,0,0,0,1,1
126,0,39.4494,125.2717,39594.2,-928.9,1026,336.20.0000,-0.2383,2.3064,0,0,0,1,1
127,0,39.4586,125.2609,39925.8,-941.3,1039,331.90.0000,-0.2325,2.3068,0,0,0,1,1
128,0,39.4679,125.2499,40253.6,-953.7,1052,327.50.0000,-0.2267,2.3073,0,0,0,1,1
129,0,39.4774,125.2388,40577.6,-965.9,1064,322.80.0000,-0.2209,2.3078,0,0,0,1,1
130,0,39.4869,125.2276,40897.8,-978.1,1077,317.90.0000,-0.2152,2.3083,0,0,0,1,1
131,0,39.4966,125.2162,41213.3,-990.1,1089,313.10.0000,-0.2096,2.3088,0,0,0,1,1
132,0,39.5064,125.2047,41524.1,-1002,1101,308.30.0000,-0.2043,2.3093,0,0,0,1,1
133,0,39.5162,125.193,41830.1,-1014,1112,303.60.0000,-0.1991,2.3097,0,0,0,1,1
134,0,39.5262,125.1812,42131.6,-1025,1124,2990,-0.194,2.3101,0,0,0,1,1
135,0,39.5363,125.1693,42428.5,-1036,1136,294.40.0000,-0.1892,2.3105,0,0,0,1,1
136,0,39.5465,125.1573,42720.9,-1048,1147,2900,-0.1845,2.3108,0,0,0,1,1
137,0,39.5568,125.1451,43008.9,-1059,1159,285.60.0000,-0.18,2.3111,0,0,0,1,1
138,0,39.5672,125.1328,43292.6,-1069,1170,281.30.0000,-0.1756,2.3113,0,0,0,1,1
139,0,39.5777,125.1203,43572.1,-1080,1181,2770,-0.1714,2.3115,0,0,0,1,1
140,0,39.5882,125.1078,43847.4,-1091,1192,272.90.0000,-0.1673,2.3117,0,0,0,1,1
141,0,39.5989,125.0951,44118.5,-1101,1203,268.90.0000,-0.1634,2.3119,0,0,0,1,1
142,0,39.6097,125.0823,44385.7,-1111,1214,264.90.0000,-0.1596,2.3121,0,0,0,1,1
143,0,39.6206,125.0694,44648.9,-1122,1225,261.10.0000,-0.1559,2.3122,0,0,0,1,1
144,0,39.6316,125.0563,44908.2,-1132,1235,257.30.0000,-0.1524,2.3123,0,0,0,1,1
145,0,39.6426,125.0432,45163.7,-1141,1246,253.60.0000,-0.149,2.3124,0,0,0,1,1
146,0,39.6538,125.0299,45415.5,-1151,1256,2500,-0.1457,2.3125,0,0,0,1,1
147,0,39.665,125.0165,45663.7,-1161,1267,246.50.0000,-0.1425,2.3126,0,0,0,1,1
148,0,39.6764,125.003,45908.3,-1170,1277,2430,-0.1394,2.3127,0,0,0,1,1
149,0,39.6878,124.9894,46149.3,-1180,1287,239.60.0000,-0.1364,2.3127,0,0,0,1,1
150,0,39.6993,124.9756,46387,-1189,1297,236.30.0000,-0.1336,2.3128,0,0,0,1,1
151,0,39.7109,124.9618,46621.3,-1198,1307,233.10.0000,-0.1308,2.3128,0,0,0,1,1
152,0,39.7226,124.9479,46852.3,-1207,1316,2300,-0.1281,2.3128,0,0,0,1,1
153,0,39.7344,124.9338,47080.1,-1216,1326,226.90.0000,-0.1255,2.3129,0,0,0,1,1
154,0,39.7463,124.9196,47304.8,-1225,1335,223.90.0000,-0.1229,2.3129,0,0,0,1,1
155,0,39.7582,124.9054,47526.4,-1233,1345,220.90.0000,-0.1205,2.313,0,0,0,1,1
156,0,39.7703,124.891,47745.1,-1242,1354,2180,-0.1181,2.313,0,0,0,1,1
157,0,39.7824,124.8765,47960.9,-1250,1363,215.10.0000,-0.1158,2.3131,0,0,0,1,1
158,0,39.7946,124.862,48173.8,-1259,1372,212.20.0000,-0.1135,2.3131,0,0,0,1,1
159,0,39.8068,124.8473,48384,-1267,1381,209.40.0000,-0.1113,2.3132,0,0,0,1,1
160,0,39.8192,124.8326,48591.5,-1275,1390,206.70.0000,-0.1091,2.3133,0,0,0,1,1
161,0,39.8316,124.8177,48796.4,-1283,1398,203.90.0000,-0.107,2.3134,0,0,0,1,1
162,0,39.8441,124.8028,48998.8,-1292,1407,201.10.0000,-0.1049,2.3135,0,0,0,1,1
163,0,39.8567,124.7877,49198.6,-1300,1415,198.40.0000,-0.1029,2.3137,0,0,0,1,1
164,0,39.8693,124.7726,49395.8,-1307,1423,195.80.0000,-0.101,2.3138,0,0,0,1,1
165,0,39.8821,124.7573,49590.5,-1315,1431,193.20.0000,-0.0991,2.3139,0,0,0,1,1
166,0,39.8949,124.742,49782.7,-1323,1440,190.70.0000,-0.0972,2.3141,0,0,0,1,1
167,0,39.9077,124.7266,49972.5,-1331,1447,188.30.0000,-0.0955,2.3142,0,0,0,1,1
168,0,39.9207,124.7111,50159.9,-1338,1455,185.90.0000,-0.0938,2.3144,0,0,0,1,1
169,0,39.9337,124.6955,50345,-1346,1463,183.60.0000,-0.0921,2.3145,0,0,0,1,1
170,0,39.9467,124.6798,50527.8,-1353,1471,181.40.0000,-0.0905,2.3146,0,0,0,1,1
171,0,39.9599,124.664,50708.5,-1361,1478,179.30.0000,-0.089,2.3148,0,0,0,1,1
172,0,39.9731,124.6482,50887,-1368,1486,177.20.0000,-0.0875,2.3149,0,0,0,1,1
173,0,39.9863,124.6322,51063.4,-1375,1493,175.20.0000,-0.0861,2.3151,0,0,0,1,1
174,0,39.9997,124.6162,51237.8,-1382,1500,173.20.0000,-0.0847,2.3152,0,0,0,1,1
175,0,40.0131,124.6001,51410.3,-1389,1508,171.30.0000,-0.0834,2.3153,0,0,0,1,1
176,0,40.0266,124.5839,51580.8,-1396,1515,169.50.0000,-0.0821,2.3155,0,0,0,1,1
177,0,40.0401,124.5676,51749.5,-1403,1522,167.70.0000,-0.0808,2.3156,0,0,0,1,1
178,0,40.0537,124.5512,51916.4,-1410,1529,1660,-0.0797,2.3158,0,0,0,1,1
179,0,40.0673,124.5348,52081.6,-1417,1536,164.40.0000,-0.0785,2.3159,0,0,0,1,1
180,0,40.081,124.5182,52245.1,-1423,1542,162.80.0000,-0.0774,2.3161,0,0,0,1,1
181,0,40.0948,124.5016,52407,-1430,1549,161.30.0000,-0.0763,2.3162,0,0,0,1,1
182,0,40.1086,124.4849,52567.3,-1437,1556,159.80.0000,-0.0753,2.3164,0,0,0,1,1
183,0,40.1225,124.4681,52726.1,-1443,1562,158.40.0000,-0.0743,2.3165,0,0,0,1,1
184,0,40.1365,124.4513,52883.5,-1450,1569,1570,-0.0734,2.3167,0,0,0,1,1
185,0,40.1505,124.4343,53039.5,-1456,1575,155.70.0000,-0.0725,2.3168,0,0,0,1,1
186,0,40.1646,124.4173,53194.1,-1462,1582,154.40.0000,-0.0716,2.317,0,0,0,1,1
187,0,40.1787,124.4002,53347.5,-1468,1588,153.20.0000,-0.0707,2.3171,0,0,0,1,1
188,0,40.1929,124.3831,53499.7,-1475,1594,1520,-0.0699,2.3173,0,0,0,1,1
189,0,40.2071,124.3658,53650.7,-1481,1600,150.90.0000,-0.0691,2.3175,0,0,0,1,1
190,0,40.2214,124.3485,53800.7,-1487,1606,149.80.0000,-0.0683,2.3176,0,0,0,1,1
191,0,40.2357,124.3311,53949.6,-1493,1612,148.70.0000,-0.0676,2.3178,0,0,0,1,1
192,0,40.2501,124.3137,54097.5,-1499,1618,147.70.0000,-0.0669,2.3179,0,0,0,1,1
193,0,40.2645,124.2962,54244.5,-1504,1624,146.70.0000,-0.0662,2.3181,0,0,0,1,1
194,0,40.279,124.2786,54390.6,-1510,1629,145.80.0000,-0.0655,2.3182,0,0,0,1,1
195,0,40.2936,124.2609,54535.9,-1516,1635,144.80.0000,-0.0649,2.3184,0,0,0,1,1
196,0,40.3082,124.2432,54680.3,-1522,1641,143.90.0000,-0.0642,2.3186,0,0,0,1,1
197,0,40.3228,124.2253,54823.7,-1527,1646,1430,-0.0636,2.3187,0,0,0,1,1
198,0,40.3375,124.2075,54966.3,-1533,1652,142.10.0000,-0.063,2.3189,0,0,0,1,1
199,0,40.3522,124.1895,55107.9,-1538,1657,141.30.0000,-0.0624,2.3191,0,0,0,1,1
200,0,40.367,124.1715,55248.7,-1544,1663,140.40.0000,-0.0618,2.3192,0,0,0,1,1
201,0,40.3818,124.1534,55388.6,-1549,1668,139.60.0000,-0.0612,2.3194,0,0,0,1,1
202,0,40.3967,124.1353,55527.7,-1555,1673,138.70.0000,-0.0607,2.3196,0,0,0,1,1
203,0,40.4116,124.1171,55666,-1560,1678,137.90.0000,-0.0601,2.3197,0,0,0,1,1
204,0,40.4266,124.0988,55803.5,-1565,1683,137.10.0000,-0.0596,2.3199,0,0,0,1,1
205,0,40.4416,124.0805,55940.1,-1571,1688,136.30.0000,-0.0591,2.3201,0,0,0,1,1
206,0,40.4566,124.062,56076.1,-1576,1693,135.60.0000,-0.0585,2.3202,0,0,0,1,1
207,0,40.4717,124.0436,56211.2,-1581,1698,134.80.0000,-0.058,2.3204,0,0,0,1,1
208,0,40.4869,124.025,56345.6,-1586,1703,134.10.0000,-0.0576,2.3206,0,0,0,1,1
209,0,40.5021,124.0064,56479.3,-1591,1708,133.40.0000,-0.0571,2.3208,0,0,0,1,1
210,0,40.5173,123.9878,56612.3,-1596,1713,132.70.0000,-0.0566,2.3209,0,0,0,1,1
211,0,40.5326,123.9691,56744.7,-1601,1717,1320,-0.0562,2.3211,0,0,0,1,1
212,0,40.5479,123.9503,56876.3,-1606,1722,131.30.0000,-0.0557,2.3213,0,0,0,1,1
213,0,40.5632,123.9314,57007.3,-1611,1726,130.70.0000,-0.0553,2.3215,0,0,0,1,1
214,0,40.5786,123.9125,57137.7,-1615,1731,1300,-0.0549,2.3216,0,0,0,1,1
215,0,40.5941,123.8936,57267.4,-1620,1735,129.40.0000,-0.0545,2.3218,0,0,0,1,1
216,0,40.6095,123.8745,57396.5,-1625,1740,128.80.0000,-0.0541,2.322,0,0,0,1,1
217,0,40.625,123.8554,57525.1,-1629,1744,128.20.0000,-0.0537,2.3222,0,0,0,1,1
218,0,40.6406,123.8363,57653.1,-1634,1748,127.70.0000,-0.0533,2.3224,0,0,0,1,1
219,0,40.6562,123.8171,57780.5,-1638,1753,127.10.0000,-0.0529,2.3225,0,0,0,1,1
220,0,40.6718,123.7978,57907.4,-1643,1757,126.60.0000,-0.0526,2.3227,0,0,0,1,1
221,0,40.6875,123.7785,58033.8,-1647,1761,126.10.0000,-0.0522,2.3229,0,0,0,1,1
222,0,40.7032,123.7592,58159.7,-1652,1765,125.60.0000,-0.0519,2.3231,0,0,0,1,1
223,0,40.7189,123.7397,58285.1,-1656,1769,125.10.0000,-0.0516,2.3233,0,0,0,1,1
224,0,40.7347,123.7203,58410,-1661,1773,124.70.0000,-0.0513,2.3235,0,0,0,1,1
225,0,40.7505,123.7007,58534.5,-1665,1777,124.30.0000,-0.051,2.3236,0,0,0,1,1
226,0,40.7663,123.6811,58658.6,-1669,1781,123.80.0000,-0.0507,2.3238,0,0,0,1,1
227,0,40.7822,123.6615,58782.2,-1673,1785,123.40.0000,-0.0504,2.324,0,0,0,1,1
228,0,40.7981,123.6418,58905.4,-1677,1788,1230,-0.0501,2.3242,0,0,0,1,1
229,0,40.814,123.622,59028.2,-1682,1792,122.60.0000,-0.0498,2.3244,0,0,0,1,1
230,0,40.83,123.6022,59150.5,-1686,1796,122.20.0000,-0.0496,2.3246,0,0,0,1,1
231,0,40.846,123.5824,59272.3,-1690,1799,121.70.0000,-0.0493,2.3248,0,0,0,1,1
232,0,40.862,123.5625,59393.7,-1694,1803,121.20.0000,-0.049,2.325,0,0,0,1,1
233,0,40.878,123.5425,59514.6,-1698,1806,120.70.0000,-0.0486,2.3252,0,0,0,1,1
234,0,40.8941,123.5225,59634.9,-1702,1810,120.20.0000,-0.0483,2.3253,0,0,0,1,1
235,0,40.9103,123.5025,59754.7,-1706,1813,119.60.0000,-0.048,2.3255,0,0,0,1,1
236,0,40.9264,123.4823,59874,-1709,1817,119.10.0000,-0.0477,2.3257,0,0,0,1,1
237,0,40.9426,123.4622,59992.7,-1713,1820,118.50.0000,-0.0474,2.3259,0,0,0,1,1
238,0,40.9588,123.442,60110.8,-1717,1824,117.90.0000,-0.047,2.3261,0,0,0,1,1
239,0,40.9751,123.4217,60228.4,-1721,1827,117.30.0000,-0.0467,2.3263,0,0,0,1,1
240,0,40.9913,123.4014,60345.3,-1724,1830,116.70.0000,-0.0464,2.3265,0,0,0,1,1
241,0,41.0076,123.3811,60461.7,-1728,1833,1160,-0.046,2.3267,0,0,0,1,1
242,0,41.0239,123.3607,60577.3,-1732,1836,115.40.0000,-0.0457,2.3269,0,0,0,1,1
243,0,41.0403,123.3402,60692.4,-1735,1839,114.70.0000,-0.0453,2.3271,0,0,0,1,1
244,0,41.0567,123.3197,60806.8,-1739,1843,1140,-0.045,2.3273,0,0,0,1,1
245,0,41.0731,123.2992,60920.5,-1743,1846,113.30.0000,-0.0446,2.3275,0,0,0,1,1
246,0,41.0895,123.2786,61033.5,-1746,1849,112.60.0000,-0.0443,2.3277,0,0,0,1,1
247,0,41.106,123.2579,61145.7,-1750,1852,111.90.0000,-0.0439,2.3279,0,0,0,1,1
248,0,41.1225,123.2373,61257.3,-1753,1854,111.10.0000,-0.0435,2.3281,0,0,0,1,1
249,0,41.139,123.2165,61368.2,-1757,1857,110.40.0000,-0.0432,2.3283,0,0,0,1,1
250,0,41.1555,123.1957,61478.2,-1760,1860,109.60.0000,-0.0428,2.3285,0,0,0,1,1
251,0,41.1721,123.1749,61587.5,-1763,1863,108.80.0000,-0.0424,2.3287,0,0,0,1,1
252,0,41.1887,123.1541,61696.1,-1767,1866,1080,-0.042,2.3289,0,0,0,1,1
253,0,41.2053,123.1332,61803.8,-1770,1868,107.20.0000,-0.0416,2.3291,0,0,0,1,1
254,0,41.2219,123.1122,61910.7,-1773,1871,106.40.0000,-0.0413,2.3293,0,0,0,1,1
255,0,41.2386,123.0912,62016.8,-1777,1874,105.60.0000,-0.0409,2.3295,0,0,0,1,1
256,0,41.2553,123.0702,62122,-1780,1877,104.70.0000,-0.0405,2.3297,0,0,0,1,1
257,0,41.272,123.0491,62226.4,-1783,1879,103.90.0000,-0.0401,2.33,0,0,0,1,1
258,0,41.2887,123.0279,62329.9,-1786,1882,1030,-0.0397,2.3302,0,0,0,1,1
